Product,Month,Sales,Quantity Ordered,Month_Num,Quarter,Lag_1,Lag_2,Rolling_3
AAA Batteries (4-pack),2019-11-01,9044.75,3025.0,11,4,10055.37,5749.77,7282.643333333314
AAA Batteries (4-pack),2019-12-01,12680.59,4241.0,12,4,9044.75,10055.37,8283.296666666647
Apple Airpods Headphones,2019-04-01,227850.0,1519.0,4,2,198300.0,151800.0,157399.99999999997
Apple Airpods Headphones,2019-05-01,204750.0,1365.0,5,2,227850.0,198300.0,192650.0
Apple Airpods Headphones,2019-06-01,175050.0,1167.0,6,2,204750.0,227850.0,210300.0
Apple Airpods Headphones,2019-07-01,183000.0,1220.0,7,3,175050.0,204750.0,202550.0
Apple Airpods Headphones,2019-08-01,151350.0,1009.0,8,3,183000.0,175050.0,187600.0
Apple Airpods Headphones,2019-09-01,145350.0,969.0,9,3,151350.0,183000.0,169799.99999999997
Apple Airpods Headphones,2019-10-01,250650.0,1671.0,10,4,145350.0,151350.0,159899.99999999997
Apple Airpods Headphones,2019-11-01,226950.0,1513.0,11,4,250650.0,145350.0,182450.0
Apple Airpods Headphones,2019-12-01,311400.0,2076.0,12,4,226950.0,250650.0,207650.0
Bose SoundSport Headphones,2019-04-01,128687.12999999999,1287.0,4,2,119788.01999999999,84091.59,89924.33999999997
Bose SoundSport Headphones,2019-05-01,117588.23999999999,1176.0,5,2,128687.12999999999,119788.01999999999,110855.57999999997
Bose SoundSport Headphones,2019-06-01,98290.17,983.0,6,2,117588.23999999999,128687.12999999999,122021.12999999996
Bose SoundSport Headphones,2019-07-01,105989.4,1060.0,7,3,98290.17,117588.23999999999,114855.17999999998
Bose SoundSport Headphones,2019-08-01,88091.19,881.0,8,3,105989.4,98290.17,107289.26999999997
Bose SoundSport Headphones,2019-09-01,82791.72,828.0,9,3,88091.19,105989.4,97456.91999999997
Bose SoundSport Headphones,2019-10-01,146485.35,1465.0,10,4,82791.72,88091.19,92290.76999999997
Bose SoundSport Headphones,2019-11-01,125187.48,1252.0,11,4,146485.35,82791.72,105789.41999999998
Bose SoundSport Headphones,2019-12-01,182381.75999999998,1824.0,12,4,125187.48,146485.35,118154.84999999998
Flatscreen TV,2019-04-01,138000.0,460.0,4,2,108600.0,93900.0,91799.99999999999
Flatscreen TV,2019-05-01,119700.0,399.0,5,2,138000.0,108600.0,113499.99999999999
Flatscreen TV,2019-06-01,110100.0,367.0,6,2,119700.0,138000.0,122099.99999999999
Flatscreen TV,2019-07-01,119700.0,399.0,7,3,110100.0,119700.0,122599.99999999999
Flatscreen TV,2019-08-01,99300.0,331.0,8,3,119700.0,110100.0,116499.99999999999
Flatscreen TV,2019-09-01,88200.0,294.0,9,3,99300.0,119700.0,109699.99999999999
Flatscreen TV,2019-10-01,157200.0,524.0,10,4,88200.0,99300.0,102399.99999999999
Flatscreen TV,2019-11-01,138000.0,460.0,11,4,157200.0,88200.0,114899.99999999999
Flatscreen TV,2019-12-01,199800.0,666.0,12,4,138000.0,157200.0,127799.99999999999
Google Phone,2019-04-01,348000.0,580.0,4,2,277800.0,228600.0,232400.0
Google Phone,2019-05-01,288000.0,480.0,5,2,348000.0,277800.0,284800.0
Google Phone,2019-06-01,234600.0,391.0,6,2,288000.0,348000.0,304600.0
Google Phone,2019-07-01,246600.0,411.0,7,3,234600.0,288000.0,290200.0
Google Phone,2019-08-01,216600.0,361.0,8,3,246600.0,234600.0,256400.0
Google Phone,2019-09-01,204600.0,341.0,9,3,216600.0,246600.0,232600.0
Google Phone,2019-10-01,358200.0,597.0,10,4,204600.0,216600.0,222600.0
Google Phone,2019-11-01,295800.0,493.0,11,4,358200.0,204600.0,259800.0
Google Phone,2019-12-01,429000.0,715.0,12,4,295800.0,358200.0,286200.0
LG Dryer,2019-04-01,46800.0,78.0,4,2,29400.0,22800.0,25199.99999999998
LG Dryer,2019-05-01,45600.0,76.0,5,2,46800.0,29400.0,32999.99999999998
LG Dryer,2019-06-01,25800.0,43.0,6,2,45600.0,46800.0,40599.99999999998
LG Dryer,2019-07-01,33000.0,55.0,7,3,25800.0,45600.0,39399.99999999998
LG Dryer,2019-08-01,27600.0,46.0,8,3,33000.0,25800.0,34799.99999999998
LG Dryer,2019-09-01,18000.0,30.0,9,3,27600.0,33000.0,28799.99999999998
LG Dryer,2019-10-01,30000.0,50.0,10,4,18000.0,27600.0,26199.99999999998
LG Dryer,2019-11-01,33600.0,56.0,11,4,30000.0,18000.0,25199.99999999998
LG Dryer,2019-12-01,51600.0,86.0,12,4,33600.0,30000.0,27199.99999999998
LG Washing Machine,2019-04-01,36600.0,61.0,4,2,38400.0,24000.0,29199.99999999998
LG Washing Machine,2019-05-01,38400.0,64.0,5,2,36600.0,38400.0,32999.99999999998
LG Washing Machine,2019-06-01,33000.0,55.0,6,2,38400.0,36600.0,37799.99999999998
LG Washing Machine,2019-07-01,31200.0,52.0,7,3,33000.0,38400.0,35999.99999999998
LG Washing Machine,2019-08-01,28800.0,48.0,8,3,31200.0,33000.0,34199.99999999998
LG Washing Machine,2019-09-01,27600.0,46.0,9,3,28800.0,31200.0,30999.99999999998
LG Washing Machine,2019-10-01,36600.0,61.0,10,4,27600.0,28800.0,29199.99999999998
LG Washing Machine,2019-11-01,31800.0,53.0,11,4,36600.0,27600.0,30999.99999999998
LG Washing Machine,2019-12-01,48000.0,80.0,12,4,31800.0,36600.0,31999.99999999998
Lightning Charging Cable,2019-04-01,35476.35,2373.0,4,2,28001.35,22410.05,22529.64999999998
Lightning Charging Cable,2019-05-01,31021.25,2075.0,5,2,35476.35,28001.35,28629.24999999998
Lightning Charging Cable,2019-06-01,25220.649999999998,1687.0,6,2,31021.25,35476.35,31499.64999999998
Lightning Charging Cable,2019-07-01,27074.449999999997,1811.0,7,3,25220.649999999998,31021.25,30572.74999999998
Lightning Charging Cable,2019-08-01,21572.85,1443.0,8,3,27074.449999999997,25220.649999999998,27772.116666666643
Lightning Charging Cable,2019-09-01,21408.399999999998,1432.0,9,3,21572.85,27074.449999999997,24622.64999999998
Lightning Charging Cable,2019-10-01,38451.4,2572.0,10,4,21408.399999999998,21572.85,23351.89999999998
Lightning Charging Cable,2019-11-01,33039.5,2210.0,11,4,38451.4,21408.399999999998,27144.216666666645
Lightning Charging Cable,2019-12-01,46150.65,3087.0,12,4,33039.5,38451.4,30966.43333333331
Macbook Pro Laptop,2019-04-01,771800.0,454.0,4,2,644300.0,469200.0,503766.6666666667
Macbook Pro Laptop,2019-05-01,790500.0,465.0,5,2,771800.0,644300.0,628433.3333333334
Macbook Pro Laptop,2019-06-01,605200.0,356.0,6,2,790500.0,771800.0,735533.3333333334
Macbook Pro Laptop,2019-07-01,625600.0,368.0,7,3,605200.0,790500.0,722500.0
Macbook Pro Laptop,2019-08-01,508300.0,299.0,8,3,625600.0,605200.0,673766.6666666666
Macbook Pro Laptop,2019-09-01,489600.0,288.0,9,3,508300.0,625600.0,579700.0
Macbook Pro Laptop,2019-10-01,892500.0,525.0,10,4,489600.0,508300.0,541166.6666666666
Macbook Pro Laptop,2019-11-01,748000.0,440.0,11,4,892500.0,489600.0,630133.3333333334
Macbook Pro Laptop,2019-12-01,1093100.0,643.0,12,4,748000.0,892500.0,710033.3333333334
ThinkPad Laptop,2019-04-01,389996.1,390.0,4,2,344996.55,274997.25,278997.21
ThinkPad Laptop,2019-05-01,370996.29,371.0,5,2,389996.1,344996.55,336663.3
ThinkPad Laptop,2019-06-01,313996.86,314.0,6,2,370996.29,389996.1,368662.98
ThinkPad Laptop,2019-07-01,318996.81,319.0,7,3,313996.86,370996.29,358329.75
ThinkPad Laptop,2019-08-01,273997.26,274.0,8,3,318996.81,313996.86,334663.32
ThinkPad Laptop,2019-09-01,248997.51,249.0,9,3,273997.26,318996.81,302330.31
ThinkPad Laptop,2019-10-01,460995.39,461.0,10,4,248997.51,273997.26,280663.86000000004
ThinkPad Laptop,2019-11-01,373996.26,374.0,11,4,460995.39,248997.51,327996.72000000003
ThinkPad Laptop,2019-12-01,538994.61,539.0,12,4,373996.26,460995.39,361329.72000000003
USB-C Charging Cable,2019-04-01,27114.55,2269.0,4,2,23230.8,19765.3,19442.649999999998
USB-C Charging Cable,2019-05-01,24712.6,2068.0,5,2,27114.55,23230.8,23370.216666666664
USB-C Charging Cable,2019-06-01,20016.25,1675.0,6,2,24712.6,27114.55,25019.316666666666
USB-C Charging Cable,2019-07-01,22095.55,1849.0,7,3,20016.25,24712.6,23947.8
USB-C Charging Cable,2019-08-01,17470.899999999998,1462.0,8,3,22095.55,20016.25,22274.8
USB-C Charging Cable,2019-09-01,19048.3,1594.0,9,3,17470.899999999998,22095.55,19860.899999999998
USB-C Charging Cable,2019-10-01,31870.649999999998,2667.0,10,4,19048.3,17470.899999999998,19538.25
USB-C Charging Cable,2019-11-01,26959.199999999997,2256.0,11,4,31870.649999999998,19048.3,22796.616666666665
USB-C Charging Cable,2019-12-01,38837.5,3250.0,12,4,26959.199999999997,31870.649999999998,25959.38333333333
Vareebadd Phone,2019-04-01,88000.0,220.0,4,2,69600.0,51600.0,57066.666666666664
Vareebadd Phone,2019-05-01,74000.0,185.0,5,2,88000.0,69600.0,69733.33333333333
Vareebadd Phone,2019-06-01,62000.0,155.0,6,2,74000.0,88000.0,77200.0
Vareebadd Phone,2019-07-01,58400.0,146.0,7,3,62000.0,74000.0,74666.66666666667
Vareebadd Phone,2019-08-01,57200.0,143.0,8,3,58400.0,62000.0,64800.0
Vareebadd Phone,2019-09-01,50400.0,126.0,9,3,57200.0,58400.0,59200.0
Vareebadd Phone,2019-10-01,81200.0,203.0,10,4,50400.0,57200.0,55333.333333333336
Vareebadd Phone,2019-11-01,70800.0,177.0,11,4,81200.0,50400.0,62933.333333333336
Vareebadd Phone,2019-12-01,113600.0,284.0,12,4,70800.0,81200.0,67466.66666666667
Wired Headphones,2019-04-01,24759.350000000002,2065.0,4,2,19951.36,15335.210000000001,16082.586666666668
Wired Headphones,2019-05-01,22493.24,1876.0,5,2,24759.350000000002,19951.36,20015.306666666667
Wired Headphones,2019-06-01,17673.260000000002,1474.0,6,2,22493.24,24759.350000000002,22401.31666666667
Wired Headphones,2019-07-01,18764.35,1565.0,7,3,17673.260000000002,22493.24,21641.95
Wired Headphones,2019-08-01,15479.09,1291.0,8,3,18764.35,17673.260000000002,19643.616666666665
Wired Headphones,2019-09-01,15598.99,1301.0,9,3,15479.09,18764.35,17305.566666666666
Wired Headphones,2019-10-01,27265.260000000002,2274.0,10,4,15598.99,15479.09,16614.143333333333
Wired Headphones,2019-11-01,23188.66,1934.0,11,4,27265.260000000002,15598.99,19447.780000000002
Wired Headphones,2019-12-01,32960.51,2749.0,12,4,23188.66,27265.260000000002,22017.63666666667
iPhone,2019-04-01,485100.0,693.0,4,2,376600.0,307300.0,316400.0
iPhone,2019-05-01,448000.0,640.0,5,2,485100.0,376600.0,389666.6666666667
iPhone,2019-06-01,373100.0,533.0,6,2,448000.0,485100.0,436566.6666666667
iPhone,2019-07-01,351400.0,502.0,7,3,373100.0,448000.0,435400.0
iPhone,2019-08-01,307300.0,439.0,8,3,351400.0,373100.0,390833.3333333333
iPhone,2019-09-01,277900.0,397.0,9,3,307300.0,351400.0,343933.3333333333
iPhone,2019-10-01,501200.0,716.0,10,4,277900.0,307300.0,312200.0
iPhone,2019-11-01,465500.0,665.0,11,4,501200.0,277900.0,362133.3333333333
iPhone,2019-12-01,634200.0,906.0,12,4,465500.0,501200.0,414866.6666666667
